timestamp,source,feed_type,event_type,zone,latitude,longitude,value,unit,severity,confidence
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-A,26.9239,75.8267,1.0,mm/h,NORMAL,0.95
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-B,26.9157,75.795,46.4,km/h,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-B,26.9157,75.795,3.4,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-C,26.853,75.805,51.7,km/h,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-C,26.853,75.805,4.4,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-D,26.864,75.76,49.5,km/h,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-D,26.864,75.76,3.5,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-E,26.908,75.742,45.2,km/h,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-E,26.908,75.742,3.3,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-F,26.817,75.815,48.7,km/h,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-F,26.817,75.815,4.6,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,transit_delay,corridor_delay,Zone-A,26.9239,75.8267,4.1,minutes,NORMAL,0.9
2026-09-24 13:00:00,traffic,traffic_speed,speed_sensor,Zone-A,26.9239,75.8267,45.4,km/h,NORMAL,0.9
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-C,26.853,75.805,1.3,mm/h,NORMAL,0.95
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-E,26.908,75.742,0.0,mm/h,NORMAL,0.95
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-F,26.817,75.815,0.8,mm/h,NORMAL,0.95
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-D,26.864,75.76,0.0,mm/h,NORMAL,0.95
2026-09-24 13:00:00,weather,rainfall_rate,precipitation,Zone-B,26.9157,75.795,0.3,mm/h,NORMAL,0.95
2026-09-24 13:00:26,complaints,311_incident,pothole,Zone-F,26.817,75.815,1.0,count,LOW,0.85
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-B,26.9157,75.795,2.5,minutes,NORMAL,0.9
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-B,26.9157,75.795,49.3,km/h,NORMAL,0.9
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-A,26.9239,75.8267,4.3,minutes,NORMAL,0.9
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-E,26.908,75.742,50.1,km/h,NORMAL,0.9
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-E,26.908,75.742,1.2,mm/h,NORMAL,0.95
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-D,26.864,75.76,0.1,mm/h,NORMAL,0.95
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-C,26.853,75.805,1.4,mm/h,NORMAL,0.95
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-B,26.9157,75.795,1.0,mm/h,NORMAL,0.95
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-A,26.9239,75.8267,1.2,mm/h,NORMAL,0.95
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-C,26.853,75.805,4.5,minutes,NORMAL,0.9
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-C,26.853,75.805,53.5,km/h,NORMAL,0.9
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-A,26.9239,75.8267,50.5,km/h,NORMAL,0.9
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-E,26.908,75.742,3.5,minutes,NORMAL,0.9
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-F,26.817,75.815,52.7,km/h,NORMAL,0.9
2026-09-24 13:05:00,weather,rainfall_rate,precipitation,Zone-F,26.817,75.815,1.5,mm/h,NORMAL,0.95
2026-09-24 13:05:00,traffic,traffic_speed,speed_sensor,Zone-D,26.864,75.76,48.8,km/h,NORMAL,0.9
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-D,26.864,75.76,2.3,minutes,NORMAL,0.9
2026-09-24 13:05:00,traffic,transit_delay,corridor_delay,Zone-F,26.817,75.815,3.8,minutes,NORMAL,0.9
2026-09-24 13:08:11,complaints,311_incident,pothole,Zone-C,26.853,75.805,1.0,count,LOW,0.85
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-B,26.9157,75.795,48.8,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-B,26.9157,75.795,2.1,minutes,NORMAL,0.9
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-C,26.853,75.805,45.6,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-C,26.853,75.805,4.8,minutes,NORMAL,0.9
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-D,26.864,75.76,53.4,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-A,26.9239,75.8267,50.1,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-E,26.908,75.742,53.9,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-E,26.908,75.742,3.6,minutes,NORMAL,0.9
2026-09-24 13:10:00,traffic,traffic_speed,speed_sensor,Zone-F,26.817,75.815,46.0,km/h,NORMAL,0.9
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-F,26.817,75.815,4.6,minutes,NORMAL,0.9
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-A,26.9239,75.8267,1.2,mm/h,NORMAL,0.95
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-A,26.9239,75.8267,3.7,minutes,NORMAL,0.9
2026-09-24 13:10:00,traffic,transit_delay,corridor_delay,Zone-D,26.864,75.76,2.9,minutes,NORMAL,0.9
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-B,26.9157,75.795,0.9,mm/h,NORMAL,0.95
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-C,26.853,75.805,0.3,mm/h,NORMAL,0.95
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-D,26.864,75.76,0.3,mm/h,NORMAL,0.95
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-F,26.817,75.815,0.3,mm/h,NORMAL,0.95
2026-09-24 13:10:00,weather,rainfall_rate,precipitation,Zone-E,26.908,75.742,1.0,mm/h,NORMAL,0.95
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-C,26.853,75.805,51.2,km/h,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-F,26.817,75.815,4.5,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-F,26.817,75.815,46.7,km/h,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-E,26.908,75.742,4.1,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-E,26.908,75.742,50.3,km/h,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-D,26.864,75.76,3.0,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-D,26.864,75.76,54.0,km/h,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-C,26.853,75.805,4.4,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-B,26.9157,75.795,2.3,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-B,26.9157,75.795,51.8,km/h,NORMAL,0.9
2026-09-24 13:15:00,traffic,transit_delay,corridor_delay,Zone-A,26.9239,75.8267,4.8,minutes,NORMAL,0.9
2026-09-24 13:15:00,traffic,traffic_speed,speed_sensor,Zone-A,26.9239,75.8267,50.8,km/h,NORMAL,0.9
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-A,26.9239,75.8267,1.0,mm/h,NORMAL,0.95
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-B,26.9157,75.795,1.1,mm/h,NORMAL,0.95
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-C,26.853,75.805,1.5,mm/h,NORMAL,0.95
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-D,26.864,75.76,1.0,mm/h,NORMAL,0.95
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-E,26.908,75.742,0.3,mm/h,NORMAL,0.95
2026-09-24 13:15:00,weather,rainfall_rate,precipitation,Zone-F,26.817,75.815,0.4,mm/h,NORMAL,0.95
